positive,One year ago @SenSanders announced his run for presidency  thank you for giving us hope Bernie #Still Sanders #Bernie O rBust #Bernie Sanders
positive,"My vote is #StillSanders because when @HillaryClinton believed I shouldn't be able to get married, @BernieSanders was my ally."
positive,We're feeling feisty this morning. People are hearing Bernie's message. #FeelTheBern #Bernie2016 #BernieSanders #bernie
positive,One of the realist speeches coming out of D.C/US government #FeelTheBern #BernieSanders
positive,#BernieSanders CANT LOSE He carries 70% of the independent vote& nearly 50% of Democratic vote
positive,"Of 2016 candidates, only Bernie Sanders earns positive marks from young voters; 54% saying they view him favorably"
positive,Proudly stood against what the media told me was possible to support #BernieSanders bc we the people know. Let's go America! #StillSanders
positive,#StillSanders because his message and what he has stood for has stayed consistent for decades!
positive,I'm with Bernie probably longer than Bernie is with Bernie #truth #NoHillary #NeverHillary #IndictHillary #NeverTrump #BernieOrBust
positive,Nothing has changed my mind. @BernieSanders is the best choice for President. I don't even care that he sold fake plutonium to Libyans.
positive,Integrity is doing the right thing... Even when no one is watching...@BernieSanders - circa 1991#StillSanders
positive,One year ago @SenSanders announced his run for presidency  thank you for giving us hope Bernie #StillSanders #BernieOrBust #BernieSanders
positive,"So energized right now. Powerful words by #BernieSanders tonight. I can't get over the phrase ""moral economy."" I want that in my lifetime."
positive,What a phenomenal speaker! #feelthebern #berniesanders #feelthebern2016 #bernie #bernie2016 https://www.instagram.com/p/BE7Aoqqhx5J/ 
positive,Why #BernieSanders is the best candidate! #FeelTheBern #BernieForPresident2016 #ImWithHer #HillNo #Hillary
positive,We're with the guy in the crowd. We are with #BernieSanders
positive,Exactly my thoughts glad I lived long enough to witness #BernieSanders and the people that support him!
positive,#BernieSanders is the #CaptainAmerica we need. His super strength is in his character and commitment to saving the world a different way.
positive,"The people who know #Bernie the best, love him the most. That says a lot! #FeelTheBern #INPrimary #BernieSanders"
positive,Hyped to go vote for my main man #BernieSanders in the IN primary election tomorrow b4 work! I'll be hiding my #Bernie gear under my jacket!
positive,I believe under a #berniesanders admin we'll have the fair govt we need to ban #GMOs & #Glyphosate & #Monsanto. YES!
positive,Moral leadership is 1 of reasons millions of Americans want Bernie Sanders in White House Bernie--for ALL The People
positive,"#BernieSanders represents ""ideas who time have come, & there is nothing so powerful!"" rt"
positive,Bernie Sanders is da man.  #feelthebern #berniesanders… https://www.instagram.com/p/BE7YWn_MkZmSFPx8xYAGZtqUNn-A7xi-YSOzoQ0/ …
positive,#lastword i love it.. #BernieSanders is fighting to the end... i have more faith in his movement than either party
positive,Ppl you are so damn lucky that a man like #BernieSanders gives a damn & wants to fight for you to have the best. Why wouldn't you want that?
positive,"#BernieSanders changing the game for the future because as you can clearly see this isn't your ""normal"" election year. System gotta change"
positive,I'm riding with #BernieSanders~!!!~ http://fb.me/325pMXLj4 
positive,Corruption at polls & big $ media lies can't stop the revolution. We want #BernieSanders @SenSanders @BernieSanders
positive,We are so feeling the burn in Northern California every family up here loves Bernie Sanders we cannot wait to vote
positive,@DannyEFreeman @TheresaSchroe14 @BernieSanders Beautiful!!! BERNIE IS Simply THE BEST☆☆☆
